                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6653,                 4.2007,                 2.7508,                0.26135,                0.09466,                0.05392,                0.02885,                 1.9033,                 3.0127,                 2.0736,               0.070004,              0.0033329,              0.0033329
                      1,                 1.7171,                 2.9299,                 1.8831,                0.30619,                0.21454,                0.17512,                0.10765,                 1.5358,                 2.2838,                   1.72,               0.039982,              0.0066442,              0.0066442
                      2,                 1.5466,                 2.4968,                 1.7167,                0.40271,                0.28184,                0.26031,                0.16792,                 1.3811,                 1.9526,                 1.5744,              0.0099381,              0.0099336,              0.0099336
                      3,                 1.4466,                 2.2442,                 1.6242,                0.44765,                0.32666,                 0.3204,                0.21237,                 1.2963,                 1.7512,                  1.495,               0.009901,               0.009901,               0.009901
                      4,                 1.3677,                 2.0366,                 1.5558,                 0.4941,                0.35381,                  0.363,                0.24446,                 1.2436,                 1.6296,                 1.4452,               0.009901,               0.009901,               0.009901
                      5,                 1.3199,                 1.9172,                 1.5112,                0.52351,                0.36635,                 0.3859,                0.26256,                 1.2108,                 1.5613,                 1.4135,               0.009868,               0.009868,               0.009868
                      6,                 1.2886,                 1.8353,                 1.4788,                0.54081,                0.37532,                0.40239,                0.27606,                 1.1898,                 1.5162,                 1.3936,               0.009835,               0.009835,               0.009835
                      7,                 1.2645,                 1.7778,                 1.4573,                 0.5229,                0.39773,                0.41388,                0.28506,                 1.1752,                 1.4839,                 1.3791,               0.009802,               0.009802,               0.009802
                      8,                 1.2456,                 1.7208,                 1.4373,                0.52308,                0.40529,                0.42308,                0.29252,                 1.1633,                 1.4586,                 1.3677,               0.009769,               0.009769,               0.009769
                      9,                 1.2336,                 1.6888,                 1.4232,                0.54645,                0.40674,                0.43174,                 0.2995,                 1.1535,                 1.4358,                 1.3583,               0.009736,               0.009736,               0.009736
                     10,                 1.2185,                 1.6552,                 1.4098,                 0.5403,                0.41903,                0.43992,                0.30614,                 1.1443,                 1.4153,                 1.3487,               0.009703,               0.009703,               0.009703
                     11,                 1.2108,                 1.6281,                 1.4009,                0.55556,                 0.4215,                0.44708,                0.31201,                 1.1356,                 1.3951,                 1.3395,                0.00967,                0.00967,                0.00967
                     12,                 1.2011,                  1.603,                 1.3921,                0.56189,                0.42675,                0.45478,                0.31804,                 1.1274,                 1.3758,                  1.331,               0.009637,               0.009637,               0.009637
                     13,                 1.1937,                 1.5836,                 1.3831,                0.57321,                0.43113,                0.46242,                0.32384,                 1.1187,                 1.3564,                 1.3226,               0.009604,               0.009604,               0.009604
                     14,                 1.1868,                 1.5757,                 1.3761,                0.57794,                0.43477,                0.46926,                 0.3297,                 1.1105,                 1.3372,                 1.3141,               0.009571,               0.009571,               0.009571
                     15,                 1.1792,                 1.5505,                 1.3675,                0.58261,                0.44114,                0.47618,                0.33543,                 1.1035,                 1.3191,                 1.3068,               0.009538,               0.009538,               0.009538
                     16,                 1.1788,                 1.5402,                 1.3643,                0.59252,                0.44556,                 0.4828,                 0.3408,                 1.0967,                 1.3019,                 1.2993,               0.009505,               0.009505,               0.009505
                     17,                 1.1699,                 1.5306,                 1.3569,                0.60406,                0.44708,                0.48884,                0.34618,                   1.09,                 1.2849,                 1.2917,               0.009472,               0.009472,               0.009472
                     18,                 1.1705,                 1.5196,                 1.3533,                0.60624,                0.45395,                 0.4954,                0.35133,                 1.0831,                 1.2686,                 1.2842,               0.009439,               0.009439,               0.009439
