                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7851,                 4.3494,                 2.7801,                0.31521,                0.05351,                0.02846,                0.01412,                 2.0552,                 3.3286,                 2.1557,               0.070008,              0.0033324,              0.0033324
                      1,                 1.8341,                 3.1904,                 1.9511,                0.24882,                0.14459,                0.09953,                0.05624,                 1.7434,                 2.6751,                  1.853,               0.039986,              0.0066438,              0.0066438
                      2,                 1.6959,                 2.8246,                 1.8085,                  0.296,                0.19195,                0.15118,                0.08947,                 1.6034,                 2.3833,                 1.7156,              0.0099421,              0.0099331,              0.0099331
                      3,                 1.6093,                 2.6024,                 1.7088,                0.34075,                 0.2353,                0.20832,                 0.1282,                 1.5091,                 2.1508,                 1.6142,               0.009901,               0.009901,               0.009901
                      4,                 1.5377,                 2.4179,                 1.6335,                0.40974,                0.25945,                0.24886,                  0.157,                 1.4519,                 2.0079,                 1.5511,               0.009901,               0.009901,               0.009901
                      5,                 1.5025,                 2.3125,                 1.5941,                0.43046,                0.27739,                 0.2702,                 0.1732,                 1.4192,                 1.9329,                 1.5176,               0.009868,               0.009868,               0.009868
                      6,                 1.4767,                 2.2399,                 1.5634,                0.42984,                0.29168,                 0.2874,                0.18477,                 1.3976,                  1.882,                 1.4935,               0.009835,               0.009835,               0.009835
                      7,                 1.4547,                  2.179,                 1.5406,                0.45054,                0.30143,                0.29718,                0.19254,                 1.3822,                 1.8474,                 1.4775,               0.009802,               0.009802,               0.009802
                      8,                 1.4384,                 2.1311,                 1.5217,                0.45641,                0.30689,                0.30429,                0.19774,                 1.3723,                 1.8253,                 1.4665,               0.009769,               0.009769,               0.009769
                      9,                 1.4285,                 2.0927,                 1.5085,                0.46131,                0.31092,                0.30915,                0.20125,                 1.3635,                 1.8083,                 1.4565,               0.009736,               0.009736,               0.009736
                     10,                 1.4185,                  2.067,                 1.4963,                0.46811,                0.31121,                0.31385,                0.20506,                 1.3554,                 1.7935,                 1.4478,               0.009703,               0.009703,               0.009703
                     11,                 1.4089,                 2.0462,                 1.4859,                0.46983,                0.31334,                0.31765,                0.20814,                 1.3484,                 1.7801,                 1.4402,                0.00967,                0.00967,                0.00967
                     12,                 1.3983,                 2.0172,                 1.4733,                0.47597,                0.31635,                 0.3223,                0.21154,                 1.3425,                 1.7665,                  1.433,               0.009637,               0.009637,               0.009637
                     13,                 1.3949,                 1.9988,                 1.4663,                0.47337,                0.32265,                0.32673,                0.21492,                  1.336,                  1.753,                 1.4257,               0.009604,               0.009604,               0.009604
                     14,                 1.3874,                 1.9868,                 1.4592,                0.47384,                0.32427,                0.33118,                0.21838,                 1.3302,                 1.7408,                 1.4188,               0.009571,               0.009571,               0.009571
                     15,                 1.3816,                 1.9674,                 1.4519,                0.48133,                0.32702,                0.33569,                0.22156,                 1.3251,                 1.7291,                 1.4123,               0.009538,               0.009538,               0.009538
                     16,                  1.383,                 1.9585,                 1.4489,                0.48438,                0.33103,                0.34036,                0.22492,                 1.3195,                 1.7159,                 1.4055,               0.009505,               0.009505,               0.009505
                     17,                 1.3724,                  1.952,                 1.4435,                0.48631,                0.33813,                0.34452,                0.22814,                  1.314,                 1.7024,                 1.3988,               0.009472,               0.009472,               0.009472
                     18,                 1.3743,                 1.9341,                 1.4384,                0.49511,                0.33854,                0.34847,                0.23177,                 1.3086,                 1.6899,                  1.392,               0.009439,               0.009439,               0.009439
                     19,                 1.3677,                 1.9269,                 1.4335,                0.49964,                0.34196,                0.35231,                0.23482,                 1.3034,                 1.6771,                 1.3853,               0.009406,               0.009406,               0.009406
                     20,                 1.3638,                 1.9174,                 1.4276,                0.50888,                0.34385,                0.35595,                0.23747,                 1.2984,                 1.6646,                 1.3786,               0.009373,               0.009373,               0.009373
                     21,                 1.3592,                 1.9057,                 1.4231,                0.51059,                 0.3475,                0.35974,                0.24089,                 1.2934,                 1.6515,                 1.3722,                0.00934,                0.00934,                0.00934
                     22,                 1.3594,                 1.9014,                 1.4205,                0.50753,                0.35314,                 0.3637,                0.24404,                 1.2885,                  1.638,                 1.3659,               0.009307,               0.009307,               0.009307
                     23,                 1.3522,                 1.8871,                 1.4126,                0.50812,                0.35529,                 0.3669,                0.24656,                 1.2839,                 1.6257,                 1.3597,               0.009274,               0.009274,               0.009274
                     24,                 1.3524,                 1.8833,                   1.41,                0.51699,                0.35706,                 0.3708,                0.24979,                 1.2795,                 1.6139,                 1.3537,               0.009241,               0.009241,               0.009241
                     25,                 1.3529,                 1.8751,                 1.4058,                0.52335,                0.35931,                0.37454,                0.25248,                 1.2751,                 1.6031,                  1.348,               0.009208,               0.009208,               0.009208
                     26,                  1.352,                 1.8734,                 1.4053,                0.52979,                0.35857,                0.37807,                0.25477,                 1.2722,                 1.5935,                 1.3437,               0.009175,               0.009175,               0.009175
                     27,                 1.3491,                 1.8662,                 1.4033,                0.52921,                0.36262,                0.38076,                0.25691,                 1.2687,                 1.5839,                 1.3392,               0.009142,               0.009142,               0.009142
                     28,                 1.3467,                 1.8631,                 1.3993,                0.52379,                0.36605,                0.38344,                0.25949,                 1.2652,                 1.5745,                 1.3344,               0.009109,               0.009109,               0.009109
                     29,                 1.3418,                  1.852,                 1.3962,                0.52948,                0.36706,                0.38619,                0.26171,                 1.2618,                 1.5656,                 1.3299,               0.009076,               0.009076,               0.009076
