                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8249,                 4.4484,                 2.9811,                 0.2974,                0.05963,                0.03617,                0.01822,                 2.0079,                  3.248,                  2.164,               0.070004,              0.0033329,              0.0033329
                      1,                 1.7996,                 3.1237,                 1.9432,                0.27974,                0.17069,                0.12676,                0.07426,                 1.6434,                 2.5222,                 1.8067,               0.039991,               0.006653,               0.006653
                      2,                 1.6278,                 2.6823,                 1.7738,                0.33854,                0.24111,                0.20192,                 0.1247,                 1.4821,                   2.17,                 1.6558,              0.0099645,                0.00996,                0.00996
                      3,                 1.5288,                  2.427,                 1.6821,                0.40379,                0.27296,                0.26097,                0.16683,                 1.3915,                 1.9621,                 1.5722,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.4528,                 2.2278,                 1.6124,                  0.435,                0.30454,                0.29851,                0.19381,                 1.3407,                 1.8375,                 1.5224,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4081,                 2.1108,                 1.5683,                0.46377,                0.31788,                0.32046,                0.21119,                 1.3107,                 1.7621,                 1.4921,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3765,                 2.0259,                  1.535,                0.48045,                 0.3288,                0.33565,                0.22278,                 1.2903,                  1.715,                 1.4714,               0.009901,               0.009901,               0.009901
                      7,                 1.3542,                 1.9705,                 1.5144,                0.49548,                 0.3333,                0.34572,                0.23087,                 1.2759,                 1.6845,                 1.4571,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.3358,                 1.9121,                 1.4948,                0.49644,                 0.3413,                0.35497,                0.23814,                 1.2648,                 1.6594,                  1.446,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.3249,                 1.8773,                   1.48,                0.50484,                0.34408,                 0.3629,                0.24433,                 1.2549,                 1.6381,                 1.4359,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.3094,                  1.844,                 1.4652,                0.51006,                0.35223,                0.37119,                0.25081,                 1.2458,                 1.6194,                 1.4268,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.3031,                 1.8149,                 1.4545,                0.51477,                0.35975,                0.37845,                 0.2564,                 1.2363,                 1.6024,                 1.4168,               0.009802,               0.009802,               0.009802
                     12,                 1.2942,                 1.7923,                 1.4441,                0.52532,                0.36529,                 0.3855,                 0.2618,                 1.2281,                 1.5858,                  1.407,              0.0097822,              0.0097822,              0.0097822
                     13,                  1.287,                 1.7696,                 1.4363,                0.52851,                0.37247,                0.39192,                0.26703,                 1.2211,                 1.5698,                 1.3984,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.2805,                 1.7626,                 1.4282,                0.53877,                0.37505,                0.39863,                0.27247,                 1.2134,                 1.5524,                 1.3893,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.2733,                  1.739,                 1.4201,                0.55105,                0.37892,                0.40597,                0.27806,                 1.2053,                 1.5358,                 1.3803,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.2746,                 1.7286,                 1.4178,                0.55261,                0.38522,                0.41283,                0.28329,                 1.1983,                 1.5183,                 1.3718,               0.009703,               0.009703,               0.009703
                     17,                 1.2649,                  1.721,                 1.4101,                0.55621,                0.39105,                0.41935,                0.28899,                 1.1902,                 1.5004,                 1.3627,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.2649,                 1.7098,                 1.4048,                0.56251,                0.39686,                0.42586,                0.29436,                 1.1826,                  1.483,                 1.3535,              0.0096634,              0.0096634,              0.0096634
                     19,                  1.257,                  1.695,                  1.398,                0.56241,                0.40137,                0.43193,                0.29929,                 1.1757,                 1.4662,                 1.3455,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.2568,                 1.6895,                 1.3949,                0.55403,                0.40447,                0.43776,                0.30378,                  1.169,                 1.4484,                 1.3373,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.2487,                 1.6775,                 1.3904,                0.56246,                0.40996,                0.44316,                0.30842,                 1.1631,                 1.4312,                   1.33,               0.009604,               0.009604,               0.009604
                     22,                 1.2506,                 1.6684,                 1.3858,                0.57368,                 0.4101,                0.44815,                0.31276,                 1.1575,                 1.4158,                  1.323,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.2429,                 1.6565,                 1.3792,                0.57952,                0.41311,                0.45269,                0.31631,                 1.1521,                 1.4006,                 1.3163,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.2399,                 1.6525,                 1.3769,                0.57379,                0.42351,                0.45823,                 0.3203,                 1.1473,                 1.3868,                 1.3101,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.2389,                 1.6385,                 1.3711,                0.57461,                0.42941,                0.46336,                0.32382,                 1.1431,                 1.3747,                 1.3038,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.2384,                 1.6373,                 1.3691,                 0.5759,                0.43483,                0.46827,                0.32722,                 1.1388,                 1.3629,                 1.2973,               0.009505,               0.009505,               0.009505
                     27,                  1.238,                  1.636,                 1.3686,                0.58548,                0.43595,                0.47272,                 0.3308,                 1.1353,                 1.3514,                  1.292,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.2345,                 1.6301,                 1.3653,                0.59634,                0.43416,                0.47652,                0.33404,                 1.1324,                 1.3401,                 1.2874,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.2303,                 1.6229,                 1.3628,                0.59944,                0.43537,                0.48026,                0.33646,                 1.1289,                 1.3301,                 1.2827,              0.0094456,              0.0094456,              0.0094456
                     30,                   1.23,                 1.6161,                 1.3583,                0.59679,                0.44334,                0.48278,                0.33872,                 1.1262,                 1.3202,                 1.2784,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.2265,                 1.6064,                 1.3556,                0.59922,                0.44562,                0.48535,                0.34132,                 1.1235,                 1.3116,                 1.2745,               0.009406,               0.009406,               0.009406
                     32,                 1.2285,                 1.6076,                  1.354,                0.59946,                0.44998,                 0.4883,                0.34364,                 1.1209,                 1.3028,                 1.2703,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.2258,                 1.6014,                  1.351,                0.60493,                0.45097,                0.49115,                0.34605,                 1.1182,                  1.295,                 1.2663,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.2223,                 1.6011,                 1.3498,                0.60756,                0.45049,                0.49317,                0.34824,                 1.1157,                 1.2876,                 1.2629,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.2232,                  1.592,                 1.3466,                0.60729,                0.45394,                0.49598,                0.35036,                 1.1138,                 1.2806,                 1.2599,              0.0093268,              0.0093268,              0.0093268
                     36,                  1.222,                 1.5879,                 1.3457,                0.60386,                0.45691,                0.49794,                0.35169,                 1.1119,                 1.2747,                 1.2572,               0.009307,               0.009307,               0.009307
                     37,                 1.2165,                 1.5836,                 1.3429,                0.60393,                0.46154,                0.49968,                0.35303,                 1.1097,                 1.2685,                 1.2544,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.2192,                 1.5794,                 1.3424,                0.60718,                0.46171,                0.50095,                0.35459,                 1.1077,                 1.2638,                 1.2516,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.2185,                 1.5757,                 1.3391,                0.61187,                 0.4629,                0.50221,                  0.356,                 1.1055,                 1.2592,                 1.2487,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.2199,                 1.5735,                 1.3378,                0.61511,                0.46382,                0.50423,                 0.3574,                 1.1041,                 1.2545,                 1.2462,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.2201,                 1.5729,                 1.3363,                0.61431,                0.46543,                0.50568,                0.35865,                 1.1028,                 1.2504,                 1.2438,               0.009208,               0.009208,               0.009208
                     42,                 1.2171,                 1.5702,                 1.3349,                0.61328,                0.46717,                0.50728,                0.35995,                 1.1015,                 1.2463,                 1.2412,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.2117,                 1.5628,                 1.3327,                 0.6088,                0.47042,                0.50838,                0.36075,                 1.1001,                 1.2426,                 1.2392,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.2128,                 1.5597,                 1.3325,                0.60654,                0.47213,                0.50973,                0.36219,                  1.099,                 1.2387,                 1.2375,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.2122,                 1.5567,                 1.3312,                0.60672,                0.47235,                 0.5103,                0.36292,                 1.0983,                 1.2359,                 1.2361,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.2143,                 1.5583,                 1.3306,                0.61722,                0.46807,                 0.5114,                0.36341,                 1.0977,                 1.2325,                 1.2346,               0.009109,               0.009109,               0.009109
