                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6475,                 3.6688,                 4.1277,                0.00265,                0.31373,                0.00642,                0.00185,                 3.8578,                 3.7353,                 3.9416,               0.070536,              0.0032738,              0.0032738
                      1,                 3.5481,                 3.4349,                 3.8184,                0.00361,                0.41077,                0.00936,                0.00276,                 3.5157,                 3.7202,                 3.5401,               0.040523,              0.0065941,              0.0065941
                      2,                 2.9715,                 3.0641,                  3.262,                0.02258,                0.12541,                0.00958,                 0.0036,                 3.0945,                 28.121,                 3.5519,               0.010496,              0.0099011,              0.0099011
                      3,                 2.5346,                 2.7592,                  2.756,                0.23363,                0.21957,                0.18198,                 0.0817,                 2.3467,                 10.209,                 2.6859,              0.0099406,              0.0099406,              0.0099406
                      4,                 2.1558,                 2.3223,                 2.3363,                0.45845,                0.34321,                0.32956,                0.16798,                 2.1233,                 3.7547,                 2.4386,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.983,                 2.1051,                 2.1427,                0.63836,                 0.4471,                0.48989,                0.24645,                  2.015,                 2.5477,                 2.2436,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.8644,                 1.9406,                 2.0092,                0.60307,                0.52097,                0.54964,                0.29106,                 1.8107,                 1.9871,                 2.0315,               0.009901,               0.009901,               0.009901
                      7,                 1.8172,                 1.8375,                 1.9585,                0.65296,                0.48972,                0.54795,                0.29595,                 1.7565,                  1.827,                 1.9811,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.7479,                 1.7604,                 1.8834,                 0.7602,                0.55531,                0.65228,                0.37462,                 1.6665,                 1.6668,                 1.8614,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6705,                 1.6345,                 1.8063,                 0.8138,                0.55345,                0.67088,                0.39433,                 1.5916,                 1.5869,                 1.8176,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6865,                 1.6211,                 1.8115,                0.77064,                0.59683,                0.68606,                0.40257,                 1.5603,                  1.505,                  1.785,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6181,                 1.5218,                 1.7409,                0.80116,                0.62458,                0.73434,                0.44097,                 1.5275,                 1.4234,                 1.7175,               0.009802,               0.009802,               0.009802
                     12,                 1.5923,                 1.4914,                 1.7197,                0.78082,                0.60936,                0.71283,                0.43276,                 1.5071,                 1.3843,                 1.7077,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.5523,                 1.4111,                 1.6336,                0.78865,                0.65419,                 0.7449,                0.44867,                 1.4847,                 1.3154,                 1.6846,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.5411,                 1.4067,                 1.6724,                0.80272,                0.64762,                0.74698,                0.45178,                 1.5366,                 1.2889,                 1.7103,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.4784,                 1.3187,                 1.6145,                0.74433,                0.63445,                0.72055,                0.43857,                 1.4815,                 1.3504,                 1.6823,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.4833,                 1.3038,                 1.5892,                0.81193,                  0.625,                0.73784,                0.44645,                 1.4777,                  1.345,                 1.6749,               0.009703,               0.009703,               0.009703
                     17,                 1.4323,                 1.2687,                 1.5817,                0.80861,                0.67188,                0.76606,                0.47797,                 1.3949,                 1.2712,                 1.5889,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.4119,                 1.2126,                 1.5458,                0.78786,                0.71163,                 0.7809,                0.47858,                 1.4293,                 1.1706,                  1.613,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.4203,                 1.2219,                 1.5549,                0.83701,                0.69202,                0.78724,                0.50259,                 1.3739,                 1.1445,                 1.5947,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.4123,                 1.2302,                 1.5693,                0.82845,                0.70559,                 0.7888,                0.49971,                 1.3634,                 1.1339,                 1.5773,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.4267,                 1.1975,                 1.5374,                0.83108,                0.71916,                0.80834,                0.50503,                 1.3871,                 1.0854,                  1.563,               0.009604,               0.009604,               0.009604
