                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6652,                 3.7637,                 4.2203,                 0.0028,                0.33059,                0.00368,                0.00111,                 3.9705,                 3.8433,                   4.11,               0.070536,              0.0032738,              0.0032738
                      1,                  3.584,                 3.6219,                 4.1404,                 0.0173,                0.00617,                0.00448,                 0.0012,                 3.9159,                 3.9226,                 4.0546,               0.040523,              0.0065941,              0.0065941
                      2,                 3.4008,                 3.3943,                 3.7715,                0.00607,                0.00946,                0.00377,                0.00102,                    nan,                    nan,                    nan,               0.010496,              0.0099011,              0.0099011
                      3,                 2.8131,                 3.1002,                 3.0903,                0.11314,                 0.1028,                0.03966,                0.01471,                 3.0023,                 12.804,                 3.3857,              0.0099406,              0.0099406,              0.0099406
                      4,                 2.4433,                 2.6897,                 2.6016,                0.50936,                0.16324,                0.19303,                 0.0884,                 2.3334,                 4.5393,                 2.5886,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.2138,                 2.3845,                 2.3542,                0.39912,                0.32278,                0.28067,                 0.1241,                 2.1531,                 2.8079,                 2.3926,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.0779,                 2.2179,                  2.198,                0.21129,                0.20271,                0.11275,                0.04619,                 2.3356,                 3.2514,                 2.5874,               0.009901,               0.009901,               0.009901
                      7,                 2.0254,                 2.1446,                 2.1456,                0.55196,                0.42722,                0.44896,                0.22932,                 1.9957,                  2.392,                  2.206,              0.0098812,              0.0098812,              0.0098812
                      8,                  1.936,                 1.9901,                 2.0433,                0.57427,                0.38528,                0.44489,                 0.2347,                 1.9727,                 2.2524,                  2.199,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.8511,                 1.8636,                 1.9608,                0.71426,                0.53652,                0.61474,                0.34943,                 1.7665,                 1.8399,                 1.9622,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.8381,                 1.7908,                 1.9337,                0.68332,                0.45559,                0.52121,                0.29112,                 1.8351,                    2.1,                 2.0183,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.7872,                 1.7027,                 1.8785,                0.71246,                0.58277,                0.66853,                0.39233,                 1.6448,                 1.5623,                 1.8474,               0.009802,               0.009802,               0.009802
                     12,                 1.7392,                 1.6422,                 1.8237,                0.71131,                 0.5477,                0.61889,                0.34332,                 1.6762,                 1.7186,                 1.8689,              0.0097822,              0.0097822,              0.0097822
