                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3457,                 5.0278,                 4.1206,                0.00164,                0.03796,                0.00093,                0.00029,                    nan,                    nan,                    nan,               0.070029,              0.0033301,              0.0033301
                      1,                  2.709,                 4.2548,                 3.1079,                0.06851,                0.04232,                0.01369,                0.00459,                    nan,                    nan,                    nan,               0.040016,              0.0066503,              0.0066503
                      2,                  2.022,                 3.5299,                 2.3746,                0.02985,                0.17474,                0.02334,                0.00964,                    nan,                    nan,                    nan,              0.0099894,              0.0099572,              0.0099572
                      3,                 1.8054,                 3.0978,                 2.1131,                0.21856,                0.21685,                0.14263,                0.06832,                  1.837,                 2.8199,                 2.2133,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6714,                  2.815,                 1.9689,                0.26462,                0.28703,                0.20988,                0.10381,                  1.712,                  2.492,                  2.034,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.591,                 2.6362,                 1.8943,                0.34322,                0.33314,                0.26283,                0.13796,                 1.6378,                 2.3578,                 1.9556,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.5277,                 2.4954,                 1.8246,                0.39307,                0.34291,                0.30807,                0.16822,                 1.5494,                 2.1989,                 1.8866,               0.009901,               0.009901,               0.009901
                      7,                 1.4795,                 2.3981,                 1.7827,                0.42418,                0.36743,                0.35735,                0.20178,                 1.5121,                 2.0545,                   1.85,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.4329,                 2.3083,                 1.7435,                0.47363,                 0.3814,                0.36869,                0.21046,                 1.4777,                   2.02,                 1.7979,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.4114,                  2.247,                 1.7192,                0.48351,                0.40696,                0.40346,                0.23922,                 1.4191,                 1.9005,                 1.7325,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.3826,                  2.185,                  1.696,                0.50062,                0.41139,                0.42433,                0.25307,                 1.4108,                 1.8528,                 1.7432,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.3667,                 2.1276,                 1.6742,                0.51387,                0.45177,                0.45325,                0.27094,                 1.3739,                 1.7848,                 1.6828,               0.009802,               0.009802,               0.009802
                     12,                 1.3426,                 2.0852,                 1.6608,                 0.5295,                0.44757,                0.46796,                0.28383,                  1.362,                 1.7487,                 1.6741,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.3337,                 2.0474,                 1.6446,                0.54274,                0.47199,                0.48906,                0.29873,                 1.3355,                 1.6792,                 1.6395,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.3178,                 2.0053,                 1.6308,                0.55618,                0.46566,                0.50661,                0.31173,                 1.3226,                 1.6574,                 1.6355,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.2995,                 1.9621,                 1.6135,                0.57885,                0.49046,                0.52278,                0.32799,                 1.2989,                 1.5958,                 1.6011,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.2877,                 1.9354,                 1.6058,                0.61242,                0.49177,                0.54061,                0.34193,                 1.2813,                 1.5571,                 1.5936,               0.009703,               0.009703,               0.009703
                     17,                 1.2725,                 1.8999,                 1.5921,                0.59823,                0.50633,                0.54916,                0.34611,                 1.2684,                 1.5428,                 1.5821,              0.0096832,              0.0096832,              0.0096832
                     18,                  1.267,                 1.8738,                 1.5852,                0.62382,                0.51028,                0.56516,                0.36146,                 1.2578,                 1.5044,                 1.5558,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.2586,                 1.8542,                 1.5775,                0.61612,                0.52499,                0.57747,                0.36882,                 1.2466,                 1.4763,                 1.5516,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.2442,                  1.827,                 1.5654,                 0.6295,                  0.541,                0.59065,                 0.3833,                 1.2319,                  1.439,                 1.5373,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.2369,                 1.8184,                 1.5588,                0.62936,                0.54759,                0.59821,                0.38906,                 1.2183,                 1.4107,                 1.5295,               0.009604,               0.009604,               0.009604
                     22,                  1.228,                 1.7898,                 1.5514,                0.65569,                0.54504,                0.60391,                0.39379,                 1.2087,                 1.3892,                 1.5174,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.2285,                  1.773,                  1.551,                0.66108,                0.54289,                0.61169,                0.40212,                 1.2024,                 1.3636,                 1.5043,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.2191,                 1.7511,                 1.5382,                0.65907,                0.55901,                0.62424,                0.41149,                 1.1911,                 1.3487,                 1.4936,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.2038,                 1.7215,                 1.5248,                0.63834,                 0.5799,                0.63173,                0.41891,                 1.1847,                 1.3376,                 1.4834,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.1958,                 1.7156,                 1.5237,                0.67003,                0.56701,                0.63617,                0.42441,                  1.173,                 1.3173,                 1.4796,               0.009505,               0.009505,               0.009505
                     27,                 1.1903,                 1.6947,                 1.5144,                0.66841,                0.58654,                0.64744,                0.43551,                 1.1646,                 1.2953,                 1.4707,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.1855,                 1.6826,                  1.511,                0.70804,                0.57292,                0.65371,                0.43897,                 1.1581,                 1.2732,                  1.456,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.1851,                 1.6752,                 1.5091,                0.70922,                 0.5713,                0.65957,                0.44618,                 1.1492,                 1.2629,                 1.4532,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.1707,                 1.6555,                 1.5008,                 0.6944,                 0.5919,                0.66196,                0.45024,                  1.136,                 1.2494,                 1.4399,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.1673,                 1.6317,                 1.4958,                 0.7032,                0.59318,                0.67182,                0.45714,                 1.1312,                 1.2302,                 1.4303,               0.009406,               0.009406,               0.009406
                     32,                 1.1682,                 1.6226,                 1.4914,                0.70345,                0.59927,                0.67181,                0.45916,                 1.1246,                 1.2209,                 1.4232,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.1594,                  1.618,                 1.4863,                0.71684,                0.59846,                0.68024,                 0.4646,                 1.1194,                 1.2026,                 1.4207,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.1556,                 1.5948,                 1.4816,                 0.7181,                 0.6023,                0.68414,                0.47069,                 1.1096,                 1.1969,                 1.4125,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.1546,                 1.5962,                 1.4817,                0.71748,                0.60486,                0.68482,                0.47279,                 1.1073,                 1.1886,                 1.4093,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.1516,                 1.5871,                  1.478,                0.71789,                0.61439,                0.69223,                0.48024,                 1.1067,                 1.1751,                  1.407,               0.009307,               0.009307,               0.009307
                     37,                 1.1473,                 1.5772,                 1.4755,                0.71744,                0.61782,                0.69505,                0.48065,                 1.0999,                 1.1654,                 1.4009,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.1396,                 1.5661,                 1.4695,                0.72697,                0.62392,                0.69979,                0.48505,                 1.0947,                 1.1533,                 1.3966,              0.0092674,              0.0092674,              0.0092674
                     39,                  1.135,                 1.5499,                 1.4626,                0.73154,                0.61868,                0.70121,                0.48692,                 1.0931,                 1.1496,                  1.393,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.1303,                 1.5391,                 1.4586,                0.74418,                0.61388,                 0.7062,                0.48901,                 1.0886,                 1.1394,                 1.3866,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.1345,                 1.5405,                 1.4629,                0.73294,                0.62148,                 0.7081,                0.49109,                 1.0839,                 1.1338,                 1.3834,               0.009208,               0.009208,               0.009208
                     42,                 1.1295,                 1.5253,                 1.4562,                0.73132,                0.62291,                0.71095,                0.49496,                 1.0801,                 1.1246,                 1.3795,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.1174,                 1.5174,                 1.4492,                 0.7415,                0.62486,                0.71626,                0.49812,                 1.0768,                 1.1135,                 1.3762,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.1209,                 1.5002,                 1.4416,                 0.7215,                0.63671,                0.71609,                 0.4999,                 1.0743,                 1.1088,                 1.3728,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.1164,                 1.5027,                 1.4426,                 0.7385,                0.63372,                0.71975,                0.50295,                 1.0693,                  1.101,                 1.3673,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.1182,                 1.4976,                 1.4428,                0.75759,                0.62582,                0.72179,                0.50606,                  1.067,                 1.0959,                 1.3643,               0.009109,               0.009109,               0.009109
                     47,                 1.1101,                 1.4801,                  1.432,                0.74877,                0.63362,                0.72391,                0.50799,                  1.064,                 1.0915,                 1.3614,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.1066,                  1.483,                 1.4313,                0.75689,                0.62817,                0.72503,                0.51009,                 1.0604,                 1.0867,                 1.3582,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.1038,                 1.4751,                 1.4289,                0.75623,                0.62987,                0.72695,                0.51263,                 1.0582,                 1.0814,                 1.3559,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.1002,                 1.4682,                  1.429,                0.73781,                0.64541,                0.72843,                0.51425,                  1.056,                 1.0774,                 1.3539,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0954,                 1.4609,                 1.4244,                0.74986,                0.63913,                0.72984,                0.51522,                 1.0543,                 1.0755,                 1.3517,                0.00901,                0.00901,                0.00901
                     52,                  1.092,                 1.4493,                 1.4162,                0.74633,                0.64211,                 0.7311,                0.51767,                 1.0523,                 1.0717,                 1.3496,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0955,                 1.4479,                 1.4232,                0.74381,                0.64635,                0.73296,                0.51934,                 1.0502,                 1.0685,                 1.3475,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0945,                 1.4432,                 1.4193,                0.74725,                0.64649,                0.73489,                0.52131,                 1.0487,                 1.0642,                 1.3457,              0.0089506,              0.0089506,              0.0089506
