                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.342,                 5.0158,                 4.0316,                0.00123,                0.09132,                0.00091,                0.00022,                    nan,                    nan,                    nan,               0.070029,              0.0033301,              0.0033301
                      1,                 2.6033,                 4.0982,                 2.9123,                0.59134,                0.06472,                0.02272,                 0.0075,                 2.2776,                 3.6578,                 2.6751,               0.040016,              0.0066503,              0.0066503
                      2,                 2.0113,                 3.3893,                 2.2846,                0.32818,                 0.1396,                0.08451,                0.03547,                 1.9813,                 3.0714,                 2.3285,              0.0099894,              0.0099572,              0.0099572
                      3,                 1.7874,                 2.9946,                 2.0508,                0.22155,                0.23566,                0.15466,                0.07459,                 1.8208,                 2.8125,                 2.2154,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6479,                 2.7382,                 1.9275,                0.27863,                0.29818,                0.22041,                0.11435,                 1.6442,                  2.442,                 1.9961,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5661,                 2.5737,                 1.8607,                0.35705,                0.31956,                 0.2678,                0.14317,                 1.6122,                 2.2969,                 1.9128,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.5003,                 2.4424,                  1.797,                0.37025,                0.35544,                0.29551,                0.16423,                 1.5232,                  2.198,                 1.8441,               0.009901,               0.009901,               0.009901
                      7,                 1.4636,                 2.3546,                 1.7635,                0.40337,                0.38386,                0.35334,                0.20291,                 1.4854,                 2.0487,                 1.8113,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.4174,                  2.271,                 1.7258,                0.45634,                 0.3752,                0.36837,                0.21346,                  1.457,                 1.9982,                 1.7736,              0.0098614,              0.0098614,              0.0098614
                      9,                  1.396,                 2.2022,                 1.6988,                0.46149,                0.42764,                0.41041,                0.24481,                 1.4114,                 1.8829,                 1.7342,              0.0098416,              0.0098416,              0.0098416
                     10,                  1.369,                 2.1492,                 1.6806,                0.49194,                0.42026,                0.42705,                0.25313,                 1.3929,                 1.8253,                 1.7201,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.3502,                 2.0984,                 1.6586,                0.51376,                0.45594,                0.46145,                0.27969,                 1.3559,                 1.7355,                 1.6686,               0.009802,               0.009802,               0.009802
                     12,                 1.3289,                 2.0524,                  1.648,                0.52967,                0.44687,                0.46358,                0.28041,                 1.3628,                  1.732,                 1.6674,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.3143,                 2.0131,                 1.6294,                0.53163,                0.47308,                0.48783,                0.29912,                 1.3223,                 1.6675,                 1.6288,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.3044,                 1.9768,                 1.6152,                0.55827,                 0.4926,                0.51716,                0.32044,                 1.3066,                 1.6035,                 1.6133,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.2838,                 1.9375,                 1.6003,                0.58544,                0.49316,                0.53337,                0.33162,                 1.2982,                 1.5946,                 1.6026,              0.0097228,              0.0097228,              0.0097228
