                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3151,                 5.1289,                 3.9843,                0.60226,                0.06848,                0.00388,                  0.001,                  2.903,                 4.2982,                 3.3328,               0.070029,              0.0033301,              0.0033301
                      1,                  2.292,                 3.8568,                 2.7003,                0.11131,                0.07291,                 0.0254,                0.00965,                    nan,                    nan,                    nan,               0.040016,              0.0066503,              0.0066503
                      2,                  1.878,                 3.2904,                 2.2724,                0.16077,                0.18683,                0.08752,                 0.0426,                    nan,                    nan,                    nan,              0.0099894,              0.0099572,              0.0099572
                      3,                 1.7167,                 2.9878,                 2.0915,                 0.2144,                0.25149,                0.16044,                0.08652,                 1.6796,                 2.6617,                 2.1105,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6085,                 2.7713,                 1.9795,                0.28578,                0.26744,                0.19672,                0.10599,                 1.6087,                 2.5082,                 2.0471,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5381,                  2.608,                 1.9116,                0.35821,                0.33102,                0.27743,                0.15664,                  1.553,                 2.3242,                 1.9408,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.4812,                 2.4756,                 1.8519,                0.38977,                0.35163,                 0.3074,                0.17715,                 1.4659,                 2.1849,                 1.8644,               0.009901,               0.009901,               0.009901
                      7,                 1.4489,                 2.3905,                  1.817,                0.41724,                 0.3876,                0.35119,                0.20795,                 1.4542,                 2.0806,                 1.8487,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.4086,                 2.3063,                 1.7804,                0.46747,                0.37528,                0.37639,                0.22447,                 1.4204,                 1.9876,                 1.8036,              0.0098614,              0.0098614,              0.0098614
                      9,                  1.385,                 2.2471,                 1.7516,                0.46755,                0.41355,                 0.4002,                0.24746,                 1.3712,                 1.9132,                 1.7632,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.3577,                 2.1754,                 1.7269,                0.49109,                0.42401,                0.43202,                 0.2647,                 1.3443,                 1.8387,                 1.7426,              0.0098218,              0.0098218,              0.0098218
