                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2256,                 4.6139,                 3.6879,                0.45856,                0.02996,                0.00508,                0.00141,                 2.7437,                 4.2421,                 3.2441,               0.070029,              0.0033301,              0.0033301
                      1,                 2.2129,                 3.7321,                 2.6887,                0.21706,                0.08291,                0.05054,                0.02256,                 2.0462,                 3.3238,                 2.6008,               0.040016,              0.0066503,              0.0066503
                      2,                 1.7805,                 3.1553,                 2.2616,                0.27798,                0.19564,                 0.1276,                0.06656,                 1.7407,                 2.9154,                 2.2823,              0.0099894,              0.0099572,              0.0099572
                      3,                 1.6362,                 2.8662,                 2.0813,                0.26381,                0.27895,                0.20508,                0.11621,                 1.6319,                 2.5204,                 2.1307,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.5385,                 2.6559,                 1.9799,                0.33318,                0.31599,                0.25486,                0.14396,                 1.5282,                 2.3725,                 1.9927,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4816,                 2.5143,                 1.9176,                0.39287,                0.35426,                0.31201,                0.17929,                  1.502,                 2.1776,                 1.9312,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.4304,                  2.388,                 1.8627,                0.43549,                0.37037,                0.35596,                0.21077,                 1.4389,                 2.0602,                 1.8845,               0.009901,               0.009901,               0.009901
                      7,                  1.405,                 2.2993,                 1.8275,                0.43811,                0.40406,                0.38496,                0.23469,                 1.3906,                 1.9455,                 1.8598,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.3636,                 2.2296,                 1.7947,                 0.4887,                0.41028,                0.40868,                0.25167,                 1.3691,                 1.8971,                  1.806,              0.0098614,              0.0098614,              0.0098614
                      9,                  1.348,                 2.1664,                 1.7692,                0.48896,                0.43816,                0.43953,                0.27443,                 1.3275,                 1.8075,                 1.7712,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.3253,                 2.1038,                 1.7472,                0.53201,                0.45026,                0.46174,                0.29159,                 1.3042,                 1.7356,                 1.7323,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.3081,                 2.0592,                 1.7265,                0.53672,                0.46439,                 0.4918,                0.31222,                 1.2883,                 1.6791,                 1.7044,               0.009802,               0.009802,               0.009802
                     12,                 1.2889,                 2.0115,                 1.7078,                0.55109,                0.46906,                0.50044,                 0.3174,                 1.2775,                 1.6576,                 1.6946,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.2795,                  1.981,                 1.6925,                0.57609,                0.48172,                0.51746,                0.33121,                 1.2524,                 1.6079,                 1.6646,              0.0097624,              0.0097624,              0.0097624
                     14,                  1.266,                 1.9388,                 1.6793,                 0.5841,                0.50668,                0.54375,                0.35316,                 1.2359,                 1.5517,                 1.6556,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.2466,                 1.8961,                 1.6607,                0.59635,                0.50407,                0.54746,                0.35798,                 1.2206,                 1.5113,                 1.6304,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.2399,                 1.8731,                 1.6505,                0.62825,                0.51634,                0.56737,                0.37454,                 1.2085,                 1.4729,                  1.618,               0.009703,               0.009703,               0.009703
                     17,                 1.2228,                 1.8399,                 1.6354,                0.61434,                0.53901,                0.58168,                0.38206,                 1.1973,                 1.4524,                  1.599,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.2166,                 1.8138,                 1.6263,                0.63827,                0.54766,                0.59902,                0.40015,                 1.1763,                 1.4042,                  1.581,              0.0096634,              0.0096634,              0.0096634
                     19,                  1.211,                 1.7928,                 1.6188,                0.63004,                0.55746,                0.60867,                0.40604,                 1.1705,                  1.382,                 1.5806,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.1964,                 1.7611,                 1.6058,                0.64168,                0.56759,                0.61527,                 0.4142,                 1.1618,                 1.3682,                 1.5627,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.1918,                 1.7584,                 1.5974,                0.64791,                0.56704,                0.62363,                 0.4219,                 1.1468,                 1.3266,                 1.5515,               0.009604,               0.009604,               0.009604
                     22,                 1.1838,                 1.7369,                 1.5937,                0.66429,                0.56899,                0.62728,                0.42525,                 1.1396,                 1.3149,                  1.546,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.1857,                 1.7176,                 1.5936,                0.66265,                0.57153,                0.63595,                0.43526,                 1.1264,                 1.2972,                  1.526,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.1753,                 1.6973,                 1.5779,                0.67721,                0.57893,                0.64905,                0.44349,                 1.1187,                 1.2794,                 1.5209,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.1625,                 1.6728,                 1.5668,                0.67505,                0.59099,                0.65416,                0.44759,                 1.1127,                 1.2651,                  1.509,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.1543,                 1.6678,                 1.5635,                0.67859,                0.59429,                0.65384,                0.45033,                 1.1073,                 1.2504,                 1.4973,               0.009505,               0.009505,               0.009505
                     27,                 1.1512,                 1.6502,                  1.553,                 0.6875,                 0.6018,                0.66679,                0.46254,                 1.0933,                 1.2252,                 1.4888,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.1438,                 1.6323,                   1.55,                0.69704,                 0.6039,                0.67167,                0.46757,                 1.0913,                  1.211,                 1.4832,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.1432,                 1.6296,                 1.5487,                0.70064,                0.60176,                0.67826,                0.47533,                 1.0828,                 1.1966,                 1.4827,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.1349,                 1.6143,                 1.5397,                0.70547,                0.60974,                0.68245,                0.47675,                 1.0764,                 1.1931,                 1.4707,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.1312,                 1.5908,                 1.5329,                0.70624,                0.61216,                0.68756,                0.48543,                 1.0757,                  1.179,                 1.4671,               0.009406,               0.009406,               0.009406
                     32,                 1.1341,                  1.583,                 1.5308,                0.69141,                0.62731,                0.68967,                0.48527,                 1.0704,                 1.1661,                 1.4577,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.1249,                 1.5746,                 1.5198,                0.72024,                0.61819,                0.69386,                0.48908,                 1.0635,                 1.1512,                 1.4466,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.1174,                 1.5608,                 1.5165,                0.71109,                0.62923,                0.69782,                0.49348,                 1.0562,                 1.1444,                 1.4424,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.1188,                 1.5585,                 1.5151,                0.73011,                0.62025,                0.70166,                0.49628,                 1.0506,                 1.1309,                 1.4375,              0.0093268,              0.0093268,              0.0093268
                     36,                  1.115,                  1.546,                 1.5106,                 0.7313,                0.62942,                0.70659,                0.50248,                 1.0503,                 1.1281,                 1.4357,               0.009307,               0.009307,               0.009307
                     37,                 1.1077,                 1.5407,                 1.5096,                 0.7237,                0.63989,                0.70829,                0.50475,                 1.0438,                   1.12,                 1.4289,              0.0092872,              0.0092872,              0.0092872
