                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2983,                 4.7244,                 3.8706,                0.00615,                0.10349,                0.00344,                0.00074,                 3.0927,                 5.1003,                 3.5629,               0.070116,              0.0033205,              0.0033205
                      1,                 2.5925,                 4.0512,                 3.0139,                0.11395,                0.06043,                0.02587,                  0.009,                 2.2708,                 3.5818,                 2.8389,               0.040103,              0.0066406,              0.0066406
                      2,                 1.8827,                 3.3186,                 2.3171,                0.09478,                0.12052,                0.04844,                0.02112,                 2.0124,                 4.0154,                 2.5373,               0.010076,              0.0099476,              0.0099476
                      3,                 1.7109,                  2.998,                 2.1041,                0.16212,                0.16984,                0.10683,                0.04832,                 1.8649,                 3.0638,                 2.3547,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.5893,                 2.7422,                 1.9733,                0.27125,                0.26401,                0.20317,                0.10817,                 1.6188,                 2.7409,                 2.0518,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5381,                 2.5796,                 1.9156,                0.31062,                 0.3068,                0.23874,                0.12693,                  1.611,                 2.4802,                 2.0325,              0.0099208,              0.0099208,              0.0099208
                      6,                   1.47,                 2.4424,                 1.8503,                0.32742,                 0.3265,                0.27826,                0.15393,                 1.5804,                 2.3591,                 1.9869,               0.009901,               0.009901,               0.009901
                      7,                 1.4377,                 2.3821,                 1.8173,                0.40258,                0.35807,                0.33549,                0.19183,                 1.4931,                 2.1253,                 1.8888,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.4079,                 2.2969,                 1.7934,                0.40166,                0.37364,                0.34271,                0.19826,                 1.4811,                 2.0676,                 1.8689,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.3827,                  2.231,                 1.7581,                0.43756,                0.37981,                0.36569,                0.21275,                 1.4543,                 2.0541,                 1.8236,              0.0098416,              0.0098416,              0.0098416
                     10,                  1.366,                 2.1664,                 1.7473,                0.50572,                0.41185,                0.42563,                0.25195,                 1.3947,                 1.9045,                 1.7807,              0.0098218,              0.0098218,              0.0098218
                     11,                  1.362,                 2.1281,                  1.734,                0.45525,                0.42264,                0.40668,                0.24096,                  1.389,                 1.8913,                 1.7717,               0.009802,               0.009802,               0.009802
