                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3458,                  4.961,                 4.1422,                0.00352,                0.04131,                0.00113,                0.00039,                    nan,                    nan,                    nan,               0.070116,              0.0033205,              0.0033205
                      1,                 2.8946,                 4.3836,                 3.3122,                0.56734,                 0.0339,                0.01347,                0.00463,                 2.3584,                 3.8626,                 2.9146,               0.040103,              0.0066406,              0.0066406
                      2,                 2.0618,                 3.6751,                 2.4639,                0.14294,                0.08265,                0.02328,                0.00891,                 2.1865,                 3.8671,                 2.6835,               0.010076,              0.0099476,              0.0099476
                      3,                  1.833,                 3.2383,                 2.1933,                0.18606,                0.16605,                0.08798,                0.03947,                 1.8875,                 3.1858,                 2.3367,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6758,                 2.8878,                 2.0285,                0.22522,                0.24571,                0.15817,                0.07598,                 1.7403,                 2.8016,                 2.1181,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6069,                 2.6852,                 1.9608,                0.26638,                0.26791,                0.19139,                0.09887,                 1.6977,                 2.6343,                 2.1308,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.5314,                 2.5276,                 1.8965,                0.32439,                0.32532,                0.27178,                0.15149,                 1.5861,                  2.353,                 1.9903,               0.009901,               0.009901,               0.009901
                      7,                  1.485,                 2.4524,                 1.8483,                0.35192,                0.36285,                0.31533,                0.18124,                 1.5211,                 2.2019,                 1.9165,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.4581,                 2.3611,                 1.8255,                 0.3945,                0.34796,                0.32451,                0.18802,                 1.4959,                 2.1067,                 1.8714,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.4216,                 2.2863,                 1.7879,                0.41362,                0.37094,                0.35398,                0.20659,                 1.4697,                 2.0388,                 1.8412,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.4064,                  2.203,                 1.7759,                0.45278,                0.41659,                0.40083,                0.23789,                 1.4259,                 1.9264,                 1.8049,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.3968,                 2.1618,                 1.7597,                0.48624,                0.43024,                0.43801,                0.26436,                 1.3831,                 1.8617,                 1.7571,               0.009802,               0.009802,               0.009802
                     12,                  1.363,                 2.1061,                 1.7238,                0.48005,                0.44819,                0.44525,                0.27108,                 1.3946,                 1.7847,                  1.754,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.3464,                 2.0363,                 1.7006,                0.52185,                0.45582,                0.46202,                0.28039,                 1.3616,                 1.7875,                 1.7248,              0.0097624,              0.0097624,              0.0097624
                     14,                  1.317,                 2.0248,                 1.6826,                0.52734,                0.46461,                0.48259,                0.29987,                  1.338,                  1.704,                 1.6974,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.3141,                 1.9866,                 1.6727,                0.55675,                0.46412,                0.49897,                0.31184,                  1.331,                 1.6935,                 1.6937,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.2907,                  1.955,                 1.6541,                0.59869,                0.48233,                0.53074,                0.33349,                 1.3058,                 1.6126,                  1.657,               0.009703,               0.009703,               0.009703
                     17,                 1.2647,                 1.8955,                 1.6347,                0.60204,                0.50432,                0.54775,                0.34777,                 1.2841,                 1.5661,                 1.6405,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.2771,                 1.8875,                  1.636,                0.59096,                0.50091,                0.54893,                 0.3492,                 1.2907,                 1.5507,                  1.646,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.2485,                 1.8545,                 1.6154,                 0.6064,                0.51441,                 0.5568,                0.36245,                 1.2571,                  1.522,                 1.6196,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.2476,                 1.8388,                 1.6188,                0.62258,                 0.5334,                0.58019,                0.37765,                 1.2463,                 1.4751,                 1.6056,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.2521,                 1.8126,                 1.6196,                0.62771,                0.52817,                0.58035,                0.37878,                 1.2406,                 1.4532,                 1.5914,               0.009604,               0.009604,               0.009604
                     22,                 1.2428,                 1.8151,                 1.6047,                  0.615,                0.54396,                0.58778,                0.38385,                 1.2154,                 1.4373,                 1.5779,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.2248,                 1.7824,                  1.591,                0.64268,                0.55236,                0.60417,                0.40023,                 1.2187,                 1.3925,                 1.5693,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.2169,                 1.7336,                 1.5783,                 0.6579,                0.56316,                0.62617,                0.41686,                 1.1938,                 1.3579,                 1.5457,              0.0095446,              0.0095446,              0.0095446
                     25,                  1.206,                 1.7176,                 1.5671,                 0.6386,                 0.5677,                0.61622,                0.41241,                 1.1856,                 1.3782,                  1.538,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.1908,                 1.6862,                 1.5586,                0.65474,                0.57758,                0.63417,                0.42523,                 1.1771,                 1.3304,                 1.5294,               0.009505,               0.009505,               0.009505
                     27,                 1.2019,                 1.7028,                 1.5639,                0.68036,                0.58259,                0.64519,                0.43544,                 1.1728,                  1.316,                 1.5208,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.1921,                 1.6705,                 1.5493,                0.65795,                0.59783,                0.65078,                0.44168,                 1.1656,                 1.2905,                 1.5154,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.1666,                 1.6454,                 1.5342,                0.67499,                0.59834,                0.66232,                0.44863,                 1.1618,                 1.2674,                 1.5088,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.1769,                 1.6344,                 1.5374,                0.69861,                0.58532,                0.66226,                0.45442,                 1.1487,                 1.2482,                  1.499,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.1814,                 1.6311,                 1.5324,                0.69422,                0.60293,                0.67016,                0.45992,                 1.1432,                 1.2441,                 1.4855,               0.009406,               0.009406,               0.009406
                     32,                 1.1774,                 1.6295,                 1.5325,                0.69347,                0.60565,                0.67816,                0.46534,                 1.1323,                 1.2217,                 1.4784,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.1592,                 1.5869,                  1.515,                0.69841,                 0.6125,                0.67996,                0.46975,                 1.1226,                 1.2102,                 1.4697,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.1696,                 1.5949,                 1.5215,                 0.7123,                  0.609,                0.68976,                0.47831,                 1.1193,                 1.1933,                 1.4592,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.1464,                 1.5826,                 1.5081,                  0.703,                0.61907,                0.68949,                  0.481,                 1.1136,                 1.1897,                 1.4573,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.1565,                 1.5754,                 1.5192,                0.71439,                0.62721,                0.69859,                0.48603,                 1.1064,                 1.1647,                 1.4465,               0.009307,               0.009307,               0.009307
                     37,                 1.1404,                 1.5592,                 1.5087,                0.71029,                  0.622,                0.69904,                0.48617,                 1.1005,                 1.1642,                 1.4436,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.1451,                 1.5456,                 1.5013,                0.69556,                0.63869,                0.70117,                0.48928,                 1.1021,                 1.1545,                 1.4429,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.1283,                 1.5304,                 1.4858,                0.71875,                0.63488,                0.70781,                0.49569,                  1.093,                 1.1423,                 1.4317,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.1294,                 1.5076,                 1.4831,                0.72908,                0.62554,                 0.7085,                0.49918,                 1.0893,                 1.1355,                  1.429,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.1274,                 1.5198,                 1.4857,                0.74486,                 0.6219,                0.71117,                0.50147,                 1.0828,                  1.127,                 1.4221,               0.009208,               0.009208,               0.009208
                     42,                 1.1249,                 1.5056,                  1.478,                0.72876,                0.63804,                0.71457,                0.50301,                 1.0794,                 1.1179,                  1.419,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.1216,                 1.4951,                   1.48,                0.72808,                0.63738,                0.71626,                0.50519,                 1.0753,                 1.1113,                 1.4146,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.1138,                 1.4926,                 1.4719,                 0.7227,                 0.6475,                0.72109,                0.50899,                 1.0718,                  1.104,                 1.4112,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.1109,                 1.4747,                 1.4703,                 0.7429,                0.63563,                0.72469,                0.51186,                 1.0695,                  1.099,                 1.4075,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.1243,                 1.4817,                 1.4748,                0.74328,                0.64114,                0.72775,                0.51523,                 1.0677,                 1.0919,                 1.4065,               0.009109,               0.009109,               0.009109
                     47,                 1.1157,                 1.4723,                 1.4662,                   0.73,                0.65237,                0.72965,                0.51778,                 1.0646,                 1.0842,                 1.4039,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.1206,                 1.4599,                 1.4692,                 0.7418,                 0.6444,                0.73285,                0.51984,                 1.0637,                 1.0776,                 1.4024,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.0978,                 1.4419,                  1.458,                0.74913,                0.65386,                 0.7366,                0.52267,                 1.0615,                 1.0734,                 1.3994,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.0902,                 1.4297,                 1.4517,                0.74895,                 0.6521,                0.73716,                0.52524,                 1.0575,                 1.0679,                 1.3941,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0914,                 1.4549,                 1.4539,                0.74817,                0.65467,                0.73881,                0.52686,                 1.0553,                 1.0631,                  1.392,                0.00901,                0.00901,                0.00901
                     52,                 1.0937,                 1.4156,                 1.4528,                0.74484,                0.66202,                0.73998,                0.52846,                 1.0529,                 1.0615,                 1.3894,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0856,                 1.4309,                 1.4437,                0.75548,                0.65976,                0.74208,                0.53057,                 1.0507,                 1.0569,                 1.3864,              0.0089704,              0.0089704,              0.0089704
                     54,                  1.089,                 1.4267,                 1.4364,                0.75004,                0.66039,                0.74287,                 0.5313,                 1.0499,                 1.0538,                 1.3849,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.0896,                 1.4023,                 1.4401,                0.74964,                0.66412,                0.74344,                0.53231,                 1.0482,                 1.0494,                 1.3826,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.0734,                 1.4076,                 1.4305,                0.73907,                0.67287,                0.74494,                 0.5338,                 1.0464,                 1.0445,                 1.3801,               0.008911,               0.008911,               0.008911
                     57,                 1.0824,                 1.4104,                 1.4399,                0.74583,                0.66678,                0.74741,                0.53516,                 1.0452,                 1.0408,                 1.3786,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.0636,                 1.3777,                 1.4229,                 0.7347,                0.67411,                0.74741,                0.53631,                 1.0436,                 1.0372,                 1.3764,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.0676,                 1.3802,                 1.4249,                 0.7573,                0.66062,                0.74841,                0.53706,                 1.0414,                 1.0335,                 1.3736,              0.0088516,              0.0088516,              0.0088516
