                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0984,                 4.5417,                 3.6563,                0.21366,                 0.0247,                0.00626,                0.00182,                 2.6048,                 4.1621,                 3.2274,               0.070087,              0.0033237,              0.0033237
                      1,                 2.1481,                 3.6935,                 2.6971,                0.17179,                 0.1154,                0.04262,                 0.0167,                 2.0894,                  3.447,                 2.7004,               0.040074,              0.0066438,              0.0066438
                      2,                 1.8058,                 3.2389,                 2.2925,                0.20434,                0.16031,                0.07257,                0.03393,                 1.8843,                  4.136,                 2.4799,               0.010047,              0.0099508,              0.0099508
                      3,                 1.6601,                 2.9768,                 2.0983,                0.23367,                0.21695,                0.12124,                0.05845,                 1.7489,                 3.1594,                 2.2076,              0.0099406,              0.0099406,              0.0099406
                      4,                  1.559,                 2.7285,                 1.9729,                0.30199,                0.26176,                 0.1925,                0.10453,                 1.5931,                 2.7579,                 2.0477,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4987,                 2.5694,                 1.9122,                0.34781,                0.26782,                0.23146,                0.12875,                 1.5235,                 2.3647,                  1.962,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.4344,                  2.451,                 1.8568,                0.32273,                0.34094,                0.26628,                0.15246,                 1.4864,                 2.3197,                 1.9305,               0.009901,               0.009901,               0.009901
                      7,                  1.405,                 2.3774,                 1.8226,                0.44907,                0.34632,                0.31421,                0.18293,                 1.4304,                 2.1179,                 1.8541,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.3715,                  2.273,                 1.7886,                0.35626,                0.36535,                0.32147,                0.19158,                 1.3996,                  2.019,                 1.8372,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.3623,                 2.2113,                 1.7695,                0.41708,                0.40542,                0.37123,                0.22236,                 1.3868,                 1.9296,                 1.8074,              0.0098416,              0.0098416,              0.0098416
