                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3362,                  4.954,                 4.1307,                0.00147,                0.12042,                0.00092,                0.00028,                 3.1347,                    inf,                 4.5501,               0.070116,              0.0033205,              0.0033205
                      1,                 2.8879,                 4.4084,                 3.3736,                0.00346,                0.08922,                0.00193,                0.00068,                    nan,                    nan,                    nan,               0.040103,              0.0066406,              0.0066406
                      2,                 2.0708,                 3.6642,                 2.5305,                0.14339,                0.12656,                0.02092,                0.00771,                  2.284,                 4.9577,                 2.9166,               0.010076,              0.0099476,              0.0099476
                      3,                 1.8235,                 3.2443,                 2.2346,                0.19116,                0.18339,                0.09106,                0.04313,                 1.8243,                 3.1808,                 2.3048,              0.0099406,              0.0099406,              0.0099406
                      4,                  1.667,                 2.8882,                 2.0625,                0.22625,                0.24484,                0.15395,                0.07688,                 1.7433,                 2.9808,                 2.1689,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6045,                 2.6912,                 1.9842,                0.28748,                0.27826,                0.20857,                0.11009,                 1.6546,                 2.5469,                 2.0734,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.5216,                 2.5456,                 1.9096,                0.33909,                0.31896,                0.26522,                 0.1485,                 1.5954,                 2.3121,                 2.0103,               0.009901,               0.009901,               0.009901
                      7,                 1.4821,                 2.4596,                 1.8613,                 0.3885,                0.33178,                0.30152,                0.17166,                 1.5177,                 2.2204,                 1.9277,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.4537,                 2.3672,                 1.8424,                0.36272,                0.34947,                0.31324,                0.18411,                 1.5201,                 2.2303,                 1.9251,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.4294,                 2.3008,                 1.8111,                0.42635,                0.39162,                0.37008,                0.21731,                 1.4673,                 2.0069,                  1.867,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.4116,                 2.2185,                 1.7908,                 0.4694,                0.39189,                0.39482,                0.23316,                 1.4366,                 1.9669,                 1.8463,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.3972,                  2.165,                 1.7715,                0.48784,                0.41555,                0.42014,                0.25162,                 1.3918,                 1.8853,                 1.7817,               0.009802,               0.009802,               0.009802
                     12,                 1.3702,                 2.1294,                 1.7414,                 0.5056,                0.45172,                0.46014,                0.27788,                 1.3792,                 1.7902,                 1.7581,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.3513,                 2.0529,                 1.7194,                0.52191,                0.43356,                0.45317,                0.27887,                 1.3634,                 1.7908,                 1.7508,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.3223,                 2.0367,                 1.7017,                0.53848,                0.46156,                0.48684,                0.30047,                 1.3222,                 1.7241,                 1.7144,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.3131,                 1.9941,                 1.6844,                0.56498,                0.47021,                 0.5085,                0.31559,                 1.3208,                  1.648,                 1.7061,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.2868,                 1.9627,                 1.6633,                0.61877,                  0.482,                0.52982,                0.33387,                 1.2989,                 1.5996,                 1.6724,               0.009703,               0.009703,               0.009703
                     17,                 1.2724,                 1.9107,                 1.6481,                0.60745,                0.48786,                0.54093,                0.34275,                 1.2962,                 1.5929,                 1.6742,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.2772,                 1.8867,                 1.6465,                0.61209,                0.50931,                0.55423,                0.35179,                 1.2762,                 1.5465,                  1.647,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.2532,                 1.8603,                 1.6318,                0.61797,                0.51248,                0.56482,                 0.3623,                 1.2451,                 1.4954,                 1.6228,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.2494,                  1.831,                 1.6271,                0.61959,                0.53624,                0.58005,                0.37356,                  1.246,                  1.475,                 1.6214,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.2552,                  1.815,                 1.6327,                0.62655,                0.53199,                0.58635,                0.38041,                 1.2425,                 1.4427,                 1.6088,               0.009604,               0.009604,               0.009604
                     22,                 1.2428,                  1.809,                 1.6163,                0.62019,                0.54421,                0.59364,                0.38959,                 1.2182,                 1.4177,                 1.5949,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.2255,                 1.7953,                 1.6043,                0.64816,                 0.5397,                0.60306,                0.39699,                 1.2106,                 1.3955,                  1.577,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.2119,                 1.7318,                 1.5875,                0.67202,                0.55022,                0.62294,                0.41616,                 1.1836,                 1.3544,                 1.5546,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.2063,                 1.7157,                 1.5824,                0.65223,                0.56164,                0.62056,                0.41655,                 1.1849,                 1.3513,                 1.5473,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.1914,                 1.6926,                 1.5758,                0.67107,                0.57008,                0.63229,                0.42447,                 1.1718,                 1.3437,                 1.5393,               0.009505,               0.009505,               0.009505
                     27,                 1.2054,                 1.7047,                 1.5801,                0.67006,                 0.5832,                0.64935,                0.44039,                 1.1652,                 1.3033,                 1.5319,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.1903,                 1.6784,                  1.564,                0.69732,                0.57974,                0.65259,                0.44367,                 1.1497,                 1.2938,                 1.5155,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.1659,                 1.6504,                 1.5487,                0.70224,                0.58081,                0.65912,                0.45023,                 1.1459,                  1.276,                 1.5137,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.1781,                 1.6346,                 1.5526,                0.70039,                0.58798,                0.66551,                  0.458,                  1.139,                 1.2549,                 1.5072,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.1818,                 1.6308,                 1.5484,                0.69088,                0.59434,                0.67222,                0.46157,                 1.1328,                 1.2284,                 1.4957,               0.009406,               0.009406,               0.009406
                     32,                 1.1809,                 1.6343,                 1.5501,                0.71133,                0.60394,                0.68264,                0.46794,                 1.1296,                 1.2181,                 1.4866,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.1601,                 1.5825,                 1.5266,                0.70693,                0.61288,                0.68285,                0.47074,                 1.1193,                 1.2066,                 1.4837,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.1669,                 1.5931,                 1.5338,                0.72011,                 0.6076,                0.69275,                0.47905,                 1.1151,                 1.1865,                 1.4714,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.1437,                 1.5799,                 1.5207,                0.72696,                0.60804,                0.69292,                0.47873,                 1.1042,                 1.1821,                 1.4632,              0.0093268,              0.0093268,              0.0093268
                     36,                  1.156,                 1.5822,                 1.5326,                0.71619,                0.62345,                0.69985,                0.48662,                 1.1015,                 1.1631,                  1.459,               0.009307,               0.009307,               0.009307
                     37,                 1.1402,                  1.552,                 1.5195,                 0.7183,                0.62473,                0.70414,                0.49005,                 1.0964,                 1.1603,                 1.4527,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.1403,                 1.5482,                 1.5097,                0.71989,                0.63858,                0.71011,                 0.4949,                 1.0922,                 1.1448,                 1.4486,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.1323,                 1.5322,                 1.5007,                0.73086,                0.63419,                0.71618,                0.49926,                 1.0871,                 1.1311,                 1.4413,              0.0092476,              0.0092476,              0.0092476
                     40,                  1.124,                 1.5083,                 1.4931,                 0.7264,                0.64025,                0.71657,                0.50281,                 1.0845,                 1.1251,                 1.4386,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.1256,                 1.5238,                 1.4982,                0.73959,                0.63214,                0.71961,                  0.507,                 1.0796,                 1.1171,                 1.4325,               0.009208,               0.009208,               0.009208
                     42,                 1.1227,                 1.4983,                 1.4872,                0.74293,                0.63704,                0.72219,                0.50642,                 1.0768,                 1.1128,                 1.4313,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.1136,                 1.4915,                 1.4857,                0.73203,                0.64502,                0.72505,                0.51121,                 1.0719,                 1.1018,                 1.4264,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.1049,                 1.4853,                 1.4746,                0.74423,                0.64546,                0.72937,                0.51441,                 1.0695,                 1.0931,                 1.4227,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.1066,                 1.4705,                 1.4789,                0.74841,                0.64574,                0.73163,                0.51717,                 1.0654,                  1.087,                 1.4182,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.1217,                 1.4755,                 1.4785,                0.73586,                0.65406,                0.73212,                0.51838,                 1.0624,                 1.0851,                 1.4138,               0.009109,               0.009109,               0.009109
                     47,                 1.1149,                  1.463,                  1.474,                 0.7363,                0.65592,                0.73474,                0.52205,                  1.057,                 1.0753,                 1.4081,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.1122,                 1.4576,                 1.4754,                0.72806,                0.66809,                0.73728,                0.52493,                 1.0548,                 1.0701,                 1.4046,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.0942,                 1.4325,                 1.4639,                0.72867,                0.67424,                0.74188,                0.52847,                  1.051,                 1.0641,                 1.4005,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.0848,                 1.4202,                 1.4573,                0.73462,                0.67135,                0.74466,                0.53074,                 1.0489,                 1.0595,                 1.3974,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0933,                 1.4379,                 1.4621,                0.74622,                0.66771,                0.74702,                0.53159,                 1.0467,                 1.0538,                 1.3946,                0.00901,                0.00901,                0.00901
                     52,                 1.0915,                 1.4145,                 1.4628,                0.74597,                 0.6687,                0.74951,                0.53376,                 1.0442,                 1.0482,                 1.3928,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0816,                  1.431,                 1.4496,                0.74209,                0.67571,                0.75067,                0.53509,                 1.0424,                 1.0449,                 1.3906,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0899,                 1.4185,                 1.4457,                0.74896,                0.67091,                0.75209,                0.53613,                  1.041,                  1.043,                 1.3889,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.0903,                 1.4004,                 1.4535,                0.76115,                0.66849,                0.75403,                0.53866,                 1.0395,                  1.038,                 1.3872,              0.0089308,              0.0089308,              0.0089308
